City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,viana do castelo,41.6932,-8.8329,18.03,86,97,2.46,PT,1728860184
83,naha,26.2125,127.6811,28.88,65,40,1.03,JP,1728860185
84,saipan,15.1355,145.701,29.39,84,40,0.0,MP,1728860186
85,puerto ayora,-0.7393,-90.3518,20.86,95,68,2.24,EC,1728860187
86,hawaiian paradise park,19.5933,-154.9731,28.82,69,40,5.14,US,1728860188
87,cannonvale,-20.2833,148.7,23.66,73,93,8.39,AU,1728860190
88,cidreira,-30.1811,-50.2056,18.88,80,1,11.06,BR,1728860191
89,bengkulu,-3.8004,102.2655,23.5,93,100,0.46,ID,1728859965
90,jamestown,42.097,-79.2353,10.25,100,100,3.09,US,1728860193
91,new norfolk,-42.7826,147.0587,12.18,50,32,1.39,AU,1728860194
92,kailua-kona,19.6406,-155.9956,29.98,73,20,5.14,US,1728860195
93,soata,6.3337,-72.6828,10.04,75,98,3.27,CO,1728860103
94,loukhi,66.0764,33.0381,1.23,95,97,1.73,RU,1728860198
95,novaya igirma,57.1334,103.9112,-5.09,57,100,3.55,RU,1728860199
96,beledweyne,4.7358,45.2036,26.32,64,47,7.54,SO,1728860200
97,laguna,38.421,-121.4238,29.02,43,0,2.57,US,1728860201
98,manay,7.215,126.5397,27.06,75,32,1.39,PH,1728860202
99,tiksi,71.6872,128.8694,-12.5,89,100,4.7,RU,1728860203
100,linares,-35.85,-71.6,14.0,72,100,1.02,CL,1728859999
101,lerwick,60.1545,-1.1494,4.68,55,53,0.45,GB,1728860206
102,papatowai,-46.5619,169.4708,11.25,48,72,1.68,NZ,1728860207
103,darwin,-12.4611,130.8418,29.41,65,20,3.09,AU,1728860208
104,nikolayevsk-on-amure,53.1406,140.73,5.23,60,94,1.72,RU,1728860209
105,severo-yeniseyskiy,60.3725,93.0408,-7.13,92,98,5.62,RU,1728860211
106,gizo,-8.103,156.8419,28.55,73,84,2.72,SB,1728860213
107,tonghae,37.5439,129.1069,17.96,73,100,1.92,KR,1728860214
108,chonchi,-42.6128,-73.8092,12.29,91,88,0.77,CL,1728860215
109,mokopane,-24.1944,29.0097,21.63,39,0,3.94,ZA,1728860216
110,siasi,5.5462,120.8145,27.83,74,83,2.57,PH,1728860217
111,kirensk,57.7853,108.1119,-5.66,67,100,3.98,RU,1728860218
112,dhidhdhoo,6.8833,73.1,27.51,79,100,7.2,MV,1728860220
113,irtyshsk,53.3333,75.4572,-4.11,62,0,3.12,KZ,1728860221
114,shenjiamen,29.9576,122.298,23.57,90,12,3.21,CN,1728860222
115,ribeira grande,38.5167,-28.7,21.54,90,36,9.83,PT,1728860223
116,toliara,-23.35,43.6667,22.02,53,0,2.07,MG,1728860224
117,touros,-5.1989,-35.4608,25.2,81,3,5.83,BR,1728860225
118,vorgashor,67.5833,63.95,-1.3,95,59,6.71,RU,1728860226
119,zouerate,22.7187,-12.4521,29.05,36,67,2.55,MR,1728860228
120,zarate,-34.0981,-59.0286,14.18,96,97,2.1,AR,1728860150
